CATEGORIA,PREGUNTA,RESPOSTA,DATA
Temes valencians,"Quina localitat valenciana, la primera població de la qual va ser un poblat ibèric establert a l'Alt de Benimaquia al segle V aC, rep probablement el seu nom actual a partir del d'una deessa romana filla de Júpiter i Latona?",Dènia,30/05/2023
Ciència,"Segons la mitologia grega, quina constel·lació prové d'un regal que Hermes va fer als fills d'Atamante per a evitar que aquest els sacrificara, i que posteriorment va ser consagrat al déu Ares i custodiat per un enorme drac, motiu pel qual, i en agraïment, va ser posat per Zeus al cel nocturn?",Àries,6/06/2023
Ciència,"Quina dona, filla d'un conegut noble de principis del segle XIX, és coneguda com la primera programadora d'ordinadors, pel fet d'haver publicat el primer algoritme destinat a ser processat per una màquina?",Ada Lovelace,6/06/2023
Cine i música,"Quin esdeveniment, celebrat l'estiu de l'any 1969 i on es va congregar vora mig milió de persones, va passar a la història pel nom d'una localitat situada a uns 65 kilòmetres del municipi on va tenir lloc?",Festival de Woodstock,6/06/2023
Geografia,Digueu cinc estats sobirans que mantinguen reclamacions territorials sobre parts de l'Antàrtida,"Argentina, Austràlia, Xile, Nova Zelanda, França, Regne Unit, Noruega",6/06/2023
Història,"Quin títol, ostentat en l'actualitat per Leonor de Borbón i que té el nom d'una localitat de poc més de 4000 habitants, designa l'hereu o hereva del Regne de Navarra, després de ser instaurat pel rei Carles III el Noble per al seu net l'any 1423",Princesa de Viana,6/06/2023
Miscelània,"Quin animal dona nom a una illa misteriosa on tenia lloc la lluita de Guybrush Threepwood per convertir-se en el pirata més temut del Carib, derrotar al malvat LeChuck i conquerir l'amor de la governadora Elaine Marley?",Monkey Island,6/06/2023
Esports,"En quin parc urbà, on van tenir lloc les Exposicions Internacionals de 1935 i 1958, s'ubica un estadi de futbol que va ser remodelat i rebatejat amb el nom d'un monarca del segle XX després d'un fet luctuós on van perdre la vida 39 persones?",Heysel,6/06/2023
Temes valencians,Ordeneu aquests presidents de la Generalitat Valenciana per l'edat que tenien quan van accedir al càrrec,Puig (56) - Fabra (47) - Camps (40) - Zaplana (39),6/06/2023
Ciència,Ordeneu aquests animals per la seua velocitat màxima enregistrada,Estrús - Lleó - Rinoceront - Girafa - Elefant,20/06/2023
Ciència,"Quina condició física relacionada amb un òrgan de l'ésser humà comparteix origen etimològic amb un espai arquitectònic habitual en les catedrals catòliques, on precedeix a l'altar major?",Presbícia,20/06/2023
Art i literatura,Relaciona aquests quadres de Velázquez amb la ciutat on actualment es troben,"Innocenci X - Roma, La Venus de l'espill - Londres, Tres músics - Berlin, Vella fregint ous - Edimburg",20/06/2023
Geografia,Digueu cinc estats dels Estats Units que es troben entre els deu amb menor superfície d'aquell país,"Rhode Island, Delaware, Connecticut, New Jersey, New Hampshire, Vermont, Massachusetts, Hawaii, Maryland, West Virginia",20/06/2023
Història,Al costat de quin poble de menys de 1.000 habitants es troba un jaciment on el 1908 l'arqueòleg Josef Szombathy va fer una troballa que actualment es conserva al Museu d'Història Natural de Viena?,Willendorf,20/06/2023
Miscelània,"Amb quin nom es coneix la creació que va llançar al mercat Satoshi Nakamoto el 9 de gener de 2009, i que actualment és oficial en dos estats sobirans de continents diferents?",Bitcoin,20/06/2023
Esports,Quina és l'única persona nascuda a l'estat espanyol que té tres anells de campió de l'NBA?,Julio Iglesias,20/06/2023
Temes valencians,"Quina expressió, que literalment significa «sota la porta de Déu», es va fer especialment popular al País Valencià a partir de l'any 1990?",A la babalà,20/06/2023
Ciència,Ordeneu aquests cereals per la data d'inici de conreu per part de l'espècie humana,Sègol-Blat-Ordi-Dacsa,27/06/2023
Ciència,Relacioneu aquests prefixes telefònics amb l'estat sobirà al qual pertanyen,"33-França, 36-Hongria, 39-Itàlia, 49-Alemanya",27/06/2023
Cine i música,"En quina serralada tenen lloc els esdeveniments relatats en un llibre de Piers Paul Read de 1974, adaptat al cine per Frank Marshall el 1993 i protagonitzats pels membres de l'equip esportiu Old Christians Club el 1972?",Els Andes (Viven),27/06/2023
Geografia,"Amb quina paraula es denomina a les persones nascudes o criades en una illa de 3,3 milions d'habitants, encara que més de 4 milions viuen fora d'aquesta illa en el territori continental de l'estat sobirà al qual pertany?",Boricua,27/06/2023
Història,"Amb quin nom es coneix en l'actualitat la imatge que va aparèixer en el sac de collita de l'agricultor Juan Diego a principis del segle XVI, i que va ser batejada com una altra imatge que es conserva a Extremadura des del segle XII?",Virgen de Guadalupe,27/06/2023
Miscelània,"Quina marca d'automòbils, fundada el 1916, simbolitza en el seu logo la bandera de la regió en la capital de la qual es troba la seua seu?",BMW,27/06/2023
Esports,Puertos del Tour de Francia,"Alps-Galibier i Iseran, Pirineus-Aubisque i Peyresourde",27/06/2023
Temes valencians,"Quina institució econòmica de la ciutat de València, que va ser creada a imitació de la mateixa que s'havia creat a Barcelona sis anys abans, donà nom a una operació policial de principis de 2016?",Taula de Canvis,27/06/2023
Ciència,Quina raça de gossos deu el seu nom a una regió que pertanya a un estat hui desaparegut i el territori de la qual es reparteix actualment entre dos estats membres de la Unió Europea,Pomerània,4/07/2023
Ciència,"Quina unitat del Sistema Internacional, en la definició de la qual s'inclouen la força, la longitud i la direcció, va ser batejada en honor d'un físic anglès del segle XIX conegut especialment pel seu treball en el camp de la termodinàmica?",Joule,4/07/2023
Cine i música,Digueu quatre pel·lícules on aparega Nicole Kidman que estiguen dirigides per directors o directores de nacionalitats diferents,"Calma total, Moulin Rouge (Austràlia), Dìas de trueno, Las horas (UK), Stoker (Corea del Sud), Retrato de una dama (Nova Zelanda), Los otros (Espanya/Xile), Dogville (Dinamarca), El sacrificio de un ciervo sagrado (Grècia)",4/07/2023
Geografia,Relacioneu aquestes monedes amb els estats de Centreamèrica on són oficials,"Colón-Costa Rica, Córdoba-Nicaràgua, Lempira-Hondures, Quetzal-Guatemala",4/07/2023
Història,"Amb quina denominació, que generalment es tradueix com a «oceà de saviesa», es coneix al líder d'una doctrina que és majoritària només en dos estats sobirans al món?",Dalai Lama,4/07/2023
Miscelània,"Quin producte audiovisual, la primera part del qual va ser posada a la venda el 1997 i l'última fins al moment en 2013, agafa el seu nom d'un delicte tipificat en l'article 487(d)(1) del Codi Penal de Califòrnia?",Grand Theft Auto,4/07/2023
Esports,Ordeneu aquestes seleccions per les vegades que han sigut campiones de la Copa Africana de Nacions de futbol masculí,Egipte (7) - Camerún (5) - Ghana (4) - Nigèria (3),4/07/2023
Temes valencians,"Quina ciutat del País Valencià donà nom a una província creada el 27 de gener de 1822 durant el Trienni Liberal, i que només va existir fins a l'1 d'octubre de 1823?",Xàtiva,4/07/2023
Ciència,Ordeneu aquestes espècies de mamífers pel seu temps mitjà de gestació,Elefant-Balena-Cavall-Vaca-Lleó,7/07/2023
Ciència,"Quin estat sobirà, el menys poblat i l'únic on la seua llengua és oficial al seu continent, és també el país del món amb major percentatge de superfície ocupada per boscos, amb més del 95%?",Surinam,7/07/2023
Cine i música,Relacioneu el nom real i el nom artístic d'aquests cantants de reggaeton,"Ramón Luis Ayala Rodríguez - Daddy Yankee, José Álvaro Osorio - J Balvin, Juan Luis Londoño Arias - Maluma, Benito Antonio Martínez Ocasio - Bad Bunny",7/07/2023
Geografia,"Quin és el producte més típic d'una regió francesa del departament de Charente, les denominacions oficials del qual són VS, VSOP i VSOPXO?",Cognac,7/07/2023
Història,"Quina província de l'estat espanyol donà nom a una entitat territorial integrant de l'imperi espanyol establida pels Borbons i que va durar, amb interrupcions, des de 1717 fins a 1822?",Virreinato de Nueva Granada,7/07/2023
Esports,"Quines són les dues seleccions, una europea i una altra americana, que han disputat més partits de la Copa del Món de futbol en categoria masculina sense haver arribat a disputar una final?",Mèxic i Bèlgica,7/07/2023
Temes valencians,"Quina església de la ciutat de València està coronada, en una de les seues dues façanes, per la figura d'una àguila que sosté al seu bec un tinter i una ploma?",Els Sants Joans,7/07/2023
Miscelània,"Quina empresa, amb seu en Carlstadt, New Jersey, va llançar al mercat a partir de l'any 2000 productes amb noms com «Lirio de tigre», «Dólar arenoso» o «Mandarina Tango», alguns dels quals són utilitzats per a la producció de banderes nacionals?",Pantone,7/07/2023
Ciència,"Quina part del cos humà va ser anomenada pel metge grec Heròfil en el segle III aC, a causa de la seua llargària d’aproximadament dotze dits?",Duodé,12/09/2023
Ciència,"Quin era el cognom del químic, professor i polític australià que va fer servir el botànic Ferdinand von Mueller per anomenar un gènere de plantes arbòries originari d’aquell país, el fruit del qual és utilitzat hui en dia com a sabor principal de molts gelats?",Macadam,12/09/2023
Esports,"Quin equip de futbol del continent americà, fundat el 1932 i guanyador de quatre lligues del seu país, té com a nom un topònim del continent europeu que també apareix en el títol d’una composició musical de l’any 1866?",Danubio Fútbol Club,12/09/2023
Temes valencians,Relacioneu aquestes institucions de la GVA amb la seua seu,"CVC - Forcalló, CJC - Santa Bàrbara, Greuges - Alacant, CES - Castelló",12/09/2023
Cine i música,Digueu quatre òperes de Giuseppe Verdi en les quals aparega un nom de persona al seu títol,"Oberto, conde de San Bonifacio, Nabucco, I due Foscari, Giovanna d'Arco, Attila, Macbeth, Luisa Miller, Rigoletto, Simón Boccanegra, Aroldo, Don Carlos, Aida, Otello, Falstaff",12/09/2023
Miscelània,"Quina marca comercial de la multinacional Kimberly-Clark, molt coneguda per un procés de metonímia comercial, va desenvolupar el seu producte per primera vegada durant la Primera Guerra Mundial per a substituir al cotó en els filtres de les màscares antigas?",Kleenex,12/09/2023
Geografia,"En quin estat sobirà europeu es troba el Districte dels Llacs Masurians, conegut per ser escenari de dos importants batalles a la Primera Guerra Mundial?",Polònia,12/09/2023
Història,"Amb quin nom és conegut l’autor, nascut el 1888, de la tesi doctoral amb títol «Influències de les Croades en l’arquitectura militar europea fins a finals del segle XII»?",Lawrence d'Aràbia,12/09/2023
Art i literatura,"Quin substantiu, que va aparèixer per primera vegada al Diccionari de la RAE en 1914, va incorporar una nova accepció en l’edició de 1970 on es feia referència a l’obra d’un escriptor l’obra més coneguda del qual té eixa paraula al seu subtítol?",Esperpento,19/09/2023
Geografia,"Quina ciutat, el nom de la qual s'utilitza actualment com a sinònim de riquesa i opulència, va ser capital d'estiu de l'Imperi Mongol a l'Edat Mitjana i donà també nom a una cançó de 1980 interpretada per Olivia Newton-John?",Xanadú,19/09/2023
Història,"Quins tres estats sobirans actuals van formar, entre 1958 i 1961, els Estats Àrabs Units, motiu pel qual les seues banderes oficials tenen els mateixos colors?","Egipte, Siria i Yemen",19/09/2023
Miscelània,Com s’anomenaven els espais d’oci que prosperaren als Estats Units entre 1905 i 1915 i que van rebre el seu nom a partir de la moneda de cinc centaus que es requeria per a accedir a ells?,Nickelodeon,19/09/2023
Temes valencians,"Amb quin nom va ser conegut Manuel Melià Fuster (1954-1994), que té un bust dedicat a la seua figura en el passeig ajardinat de l’avinguda Ferran el Catòlic de València?",Don Pío,19/09/2023
Ciència,Amb quines sis lletres es relaciona la innovació que va patentar el 1868 el polític i inventor Christopher Sholes i va vendre el 1873 a l’empresa d’armament Remington?,QWERTY,19/09/2023
Esports,"En quina ciutat, hui en dia capital d’un estat sobirà, es van celebrar uns Jocs Olímpics d’hivern quan aquesta ciutat encara no era capital?",Sarajevo,19/09/2023
Ciència,"Quina raça de gos, que va inspirar el personatge protagonista d’una sèrie animada estrenada el 1969 i el d’una pel·lícula de 2010, té en el seu nom una nacionalitat, tot i que aquesta raça és originària d’un altre país?",Gran Danès,19/09/2023
Ciència,Ordeneu cronològicament les fases de la mitosi o divisió cel·lular,Profase-Metafase-Anafase-Telofase,26/09/2023
Ciència,"Quina planta, originària de la Mediterrània i l’Àsia Menor, és sinònim actualment d’alguna cosa sense importància després de ser confosa per una altra planta que apareixia en una locució recollida per Sebastián de Covarrubias en l’any 1611?",Borratja,26/09/2023
Art i literatura,"Quin univers de ficció, la duració del qual equival al període 1900-1949 de la història de la Terra, va ser creat en presència de Jadis, Digory Kirke, Polly Plummer, Andrew Ketterley, Frank el cotxer i el seu cavall Fresón?",Narnia,26/09/2023
Geografia,Relacioneu aquestes advocacions de la Verge amb la comunitat autònoma de la qual són patrones,"Canàries-Candelaria, Cantàbria-Bien Aparecida, Extremadura-Guadalupe, La Rioja-Valvanera",26/09/2023
Història,"Quin era el nom del país mitològic, conegut en l’edat mitjana com la Terra de Cucanya, que va ser anomenat després del descobriment d’Amèrica i de la descripció de les riqueses del Perú descrites per Francisco Pizarro?",Xauxa,26/09/2023
Miscelània,"Quins eren els cognoms de dos dels tres fundadors, l’any 1882, d’una empresa que actualment publica el comportament del preu de les accions de les 30 companyes industrials més importants del seu país?",Dow Jones,26/09/2023
Esports,"Quina composició musical, que oficialment només existeix en tres idiomes, es va cantar per primera vegada el 25 de març de 1896 en una capital europea?",Himne olímpic,26/09/2023
Temes valencians,En quina ciutat del País Valencià es va originar una frase feta que remet a la mort accidental d’una dona després del despreniment d’una part d’un edifici emblemàtic d’aquella localitat?,Gandia,26/09/2023
Ciència,"Quin era el cognom del psiquiatra i pediatra austríac, que va tenir una infància solitària i amb dificultats per a trobar amics, i que posteriorment es va fer famós pels seus estudis neurològics aplicats als xiquets?",Hans Asperger,3/10/2023
Ciència,"Quina planta perenne de la família de les solanàcies, amb certes propietats narcòtiques, rep el seu nom a partir de les dames romanes d’alta societat que la utilitzaven per blanquejar-se el cutis i aplicar-se el seu suc als ulls per provocar la dilatació de les pupil·les?",Belladona,3/10/2023
Art i literatura,"Quin municipi de la província de Badajoz apareix en el títol d’una obra dramàtica també coneguda com «El garrote más bien dado», i que conta la història de venjança del notable de la ciutat contra un militar que havia violat la seua filla?",Zalamea,3/10/2023
Geografia,Digueu cinc països europeus que utilitzen l'horari europeu oriental (UTC+02:00) en horari estàndar ,"Finlàndia, Estonia, Letònia, Lituania, Rússia (Kaliningrado), Ucraïna, Moldàvia, Romania, Bulgària, Grècia, Xipre",3/10/2023
Història,Relacioneu aquests länder alemanys amb la potència aliada que els va ocupar després de la Segona Guerra Mundial,"Baviera-EUA, Hamburg-UK, Renània-França, Saxònia-URSS",3/10/2023
Miscelània,"En quin estat dels Estats Units va obrir el seu primer negoci, l'any 1929, un exmilitar que a partir dels anys 1950 sempre va vestir amb la mateixa característica indumentària?",Kentucky (Fried Chicken),3/10/2023
Esports,Ordeneu aquests colors dels cinturons de judo per nivell de coneixement,Groc-Taronja-Verd-Blau,3/10/2023
Temes valencians,"Quina empresa, fundada a València el 1932 per la família Trènor i que va existir fins al 1961, va començar amb una campanya que incloia deu manaments, el primer dels quals era «Complaure al públic sobre totes les coses»?",Cifesa,3/10/2023
Ciència,Relacioneu aquestes consonants amb el seu punt d’articulació en català,"[b]-Bilabial, [f]-Labiodental, [j]-Palatal, [n]-Alveolar",10/10/2023
Ciència,"Quina abreviatura formada per dues lletres, i que es defineix com el logaritme negatiu de base 10 de l’activitat dels ions d’hidrogen, va ser utilitzada per primera vegada pel bioquímic danès S.P.L. Sorensen el 1909?",pH,10/10/2023
Art i literatura,Classifiqueu aquestes novel·les de detectius segons hagen sigut escrites per Raymond Chandler o Dashiell Hammett,"Chandler - El llarg adeu, El somni etern; Hammett - Collita roja, El falcó maltès",10/10/2023
Geografia,"Digueu quatre de les noves set meravelles del món modern, que resultaren guanyadores en un concurs públic i mundial celebrat el 2007","Chichén Itzá, Coliseu, Crist Redemptor, Gran Muralla, Machu Picchu, Petra, Taj Mahal",10/10/2023
Història,"Quin topònim dins d'una capital de província de l'estat espanyol, que es coneixia com a Puig de l'Àliga a l'època medieval, rep el seu nom actual a partir d'una frase que li va dir el dimoni a Jesucrist?",Tibidabo,10/10/2023
Miscelània,"Quina paraula, que s’utilitza col·loquialment per a expressar conformitat, prové d’una locució italiana que significa «ací estan»?",Equilicuá,10/10/2023
Temes valencians,En quin municipi de la província de Castelló es troba la construcció romana que dona nom a una agrupació de set municipis que formen una destinació turística al voltant de l’antiga Via Augusta?,Cabanes,10/10/2023
Esports,"En quin municipi metropolità d’uns 234.000 habitants, i que pertany a la tercera conurbació més poblada del seu país, hi ha un estadi que porta el nom d’eixe municipi i que va acollir una final de la Champions League en la primera dècada del segle XXI?",Trafford,10/10/2023
Ciència,Quin os del cos humà rep un dels seus noms a partir d’una peça de la vestimenta monacal que té una obertura per on es fica el cap i que penja sobre el pit i l’esquena?,Escápula,17/10/2023
Ciència,"Quina substància química, que prové de la degradació dels glòbuls rojos, apareix en el títol d’una popular cançó de 1990?",Bilirrubina,17/10/2023
Geografia,"En quin paratge natural, prop de la localitat de Valdecabras, es poden visitar «El Tormo Alto», «El Tobogán», «El Convento» o «Lucha entre elefante y cocodrilo»",Ciudad Encantada de Cuenca,17/10/2023
Història,Relaciona aquests presidents dels EUA amb el seu middle name,"Clinton-Jefferson, Carter-Earl, Nixon-Milhous, Reagan-Wilson",17/10/2023
Miscelània,Ordeneu cronològicament les següents hores canòniques majors segons la Regla de sant Benet,,17/10/2023
Miscelània,"Quin era el cognom del noble francès a qui el cuiner François Pierre de la Varenne va dedicar, a mitjans del segle XVII, una antiga recepta d’una salsa feta a base de crema de llet?",Louis de Béchameil,17/10/2023
Esports,Digueu cinc dels colors que tenen les boles que s’utilitzen en el joc del Snooker,"Blanc, Roig, Groc, Verd, Marró, Blau, Rosa, Negre",17/10/2023
Temes valencians,"Amb quin malnom, que fa referència al seu poble natal, va ser conegut Paco Cabanes Pastor, a qui À Punt va dedicar un documental en l’any 2021, coincidint amb la seua mort?",Genovès,17/10/2023
Ciència,"Quin color, que ja utilitzaven els antics fenicis i de gran valor comercial, s’obté de la secreció de la glàndula hipobranquial del caragol marí Murex brandaris?",Porpra de Tir,24/10/2023
Art i literatura,"De quina ciutat era el marqués per al qual treballava l’arquitecte Fermo Merisi, que va tindre un fill que va adoptar el nom d’eixa ciutat i que va morir després de passar els últims anys de la seua vida fugint de la justícia per assassinat?",Caravaggio,24/10/2023
Geografia,"Quina península de la Mediterrània, que rep el seu nom a partir de l’heroi fill de Tàntal i Dione, es va convertir en illa després de la construcció d’un canal en l’any 1893?",Peloponeso,24/10/2023
Història,"Quina és la frase popular més coneguda d’un principi legal que es recull en un passatge del llibre de l’Èxode i que també forma part d’una peça de 2,25 metres d’alçada d’origen asiàtic, però que es conserva en una capital europea?","Ull per ull, dent per dent",24/10/2023
Miscelània,Quin objecte quotidià rep el seu nom a partir de la denominació dels sacs que empraven els carters britànics per a transportar la correspondència?,Tote bag,24/10/2023
Miscelània,"Quin rànquing, actualment amb tres nivells de classificació, va ser introduït per primera vegada el 1926 i té a Tokio, París i Kyoto com les ciutats més punteres?",Estreles Michelin,24/10/2023
Temes valencians,Ordena aquestes comarques del País Valencià per la seua població (2016),Plana Baixa (190k) - Safor (172k) - Camp de Túria (156k) - L'Alcoià (109k),24/10/2023
Ciència,"Amb quin nom, en honor de la deessa romana patrona de Sicília, va batejar el sacerdot Giuseppe Piazzi l’asteroide que va descobrir l’1 de gener de 1801 i que des de 2006 està en la categoria de planetes nans?",Ceres,24/10/2023
Ciència,"Quin fenòmen atmosfèric, que va tindre lloc a Londres entre el 5 i el 9 de desembre de 1952, va provocar, segons algunes estimacions, vora 4.000 morts i altres 100.000 afectats",Boira ,30/10/2023
Esports,Relaciona aquests pilots de velocitat amb el circuit on van perdre la vida,"Bianchi-Japó, Senna-San Marino, Simoncelli-Malàisia, Villeneuve-Bèlgica",30/10/2023
Geografia,"En quin paratge natural, on viu des de fa mil anys la tribu dels timbisha, es troba el lloc on es va enregistrar en 2013 la temperatura de l’aire més alta del món amb 54,4 ºC?",La Vall de la Mort,30/10/2023
Temes valencians,"Quin edifici de la ciutat de València, hui en dia seu d’un organisme oficial, és conegut per la suposada presència d’un fantasma anomenat Lourdes, i que té relació amb l’antic ús d’eixe edifici?",La Cigüeña,30/10/2023
Cine i música,Ordena aquestes sagues de terror pel nombre de pel·lícules,Halloween (13)-Viernes 13 (12)-Saw (10)-Pesadilla en Elm Street (9),30/10/2023
Geografia,Quin territori no sobirà dona nom a una àrea geogràfica denominada per primera vegada el 1964 per Vincent Gaddis i popularitzada una dècada després per un escriptor especialitzat en temes paranormals?,Illes Bermudes,30/10/2023
Art i literatura,"Quin era el nom de la vall on, a finals del segle XVIII, s’apareixia l’esperit d’un soldat de la Guerra d’Independència dels EUA, segons es narra en un conte de 1820?",Sleepy Hollow,30/10/2023
Ciència,"Quin científic, que va refutar la teoria del flogist, formulada quasi cent anys abans, va morir en la guillotina per la seua enemistat amb Jean Paul Marat?",Antoine de Lavoisier,30/10/2023
Ciència,"De quin color, que va ser descobert accidentalment per Heinrich Diesbach el 1704, es tintaven els uniformes dels militars d’un estat que va existir de facto fins al 30 de gener de 1934?",Blau de Prússia,7/11/2023
Geografia,"Amb quin nom es coneix una batalla de la Primera Guerra Mundial, guanyada pel Regne d’Itàlia a l’Imperi Austrohongarès, i que va terminar el 23 de juny de 1918?",Batalla del Solstizio,7/11/2023
Història,"Quin animal era protagonista d’una tradició en el poble de Manganeses de la Polvorosa (Zamora), que va ser prohibida l’any 2002 després d’anys de polèmica?",Cabra,7/11/2023
Miscelània,"Quin producte, anomenat originalment snuggy, va rebre el nom pel qual és conegut a partir d'un vídeo del youtuber Isaac Sánchez que es va fer molt popular a mitjans de la primera dècada del segle XXI?",Batamanta,7/11/2023
Art i literatura,Digueu cinc topònims que apareguen en el títol d’un dels àlbums d’Astèrix,"Gàlia, Bretanya, Hispània, Helvècia, Còrcega, Bèlgica, India, Itàlia",7/11/2023
Temes valencians,"Segons alguns autors, en quina localitat valenciana es va allotjar el virrei per a curar-se d'una malaltia, situació que va acabar amb tots el habitants d'eixe poble barallant-se entre ells mateixos",Torrent (El ball de Torrent),7/11/2023
Esports,"Quina manifestació cultural, declarada Patrimoni Immaterial de la Humanitat per la UNESCO en 2014, es va traslladar a un nou continent al segle XVI i té una etimologia que podria derivar de les gàbies per al transport d’aus que portaven els esclaus?",Capoeira,7/11/2023
Ciència,"Quin òrgan del cos humà, visible en els xiquets però que pràcticament desapareix en els adults, rep el seu nom per la seua semblança amb un arbust molt típic de la Mediterrània?",Tim,7/11/2023
Ciència,"Quina tecnologia, introduïda el 1998, utilitza per al seu logo les runes Hagall i Berkana, que es corresponen amb les inicials del personatge històric a partir del qual pren el seu nom?",Bluetooth,14/11/2023
Geografia,"Classifica les següents polis gregues segons es troben actualment a Itàlia, Grècia o Turquia",Èfes i Milet - Turquia; Corint i Samos - Grècia; Siracusa - Itàlia,14/11/2023
Història,"De quina civilització és Argantoni l’únic rei històric, el nom del qual fa referència al fet que eixa civilització era la principal proveïdora d’argent de la Mediterrània a la seua època?",Tartessos,14/11/2023
Miscelània,"Quin joguet, fabricat per l’empresa Manufacturas Delgado entre 1968 i 1983, es venia en formats com ara «Caixa roja», «Equip individual» o «Missions»?",Madelman,14/11/2023
Temes valencians,"Quin personatge històric apareix des de mitjans del segle XIX, per la seua presumpta relació amb el poble, en el nom en castellà d’una localitat del País Valencià que abans es deia «d’Aranda» «de València» i «de Castelló»?",El Cid (Llucena),14/11/2023
Esports,"En quina ciutat de menys de 5.000 habitants, amb la proporció més gran de milionaris del seu país, es disputa un torneig de Masters 1000 de tenis en un recinte amb una capacitat que triplica la població del municipi?",Indian Wells,14/11/2023
Ciència,Relacioneu aquests elements químics amb el grup de la taula periòdica al qual pertanyen,"Sodi-Alcalins, Calci-Alcalinoterris, Ferro-Transició, Clor-Halògens",14/11/2023
Art i literatura,"Quin era el cognom de l’escriptor francès, amic de Flaubert i Zola, que en 1896 va deixar en el seu testament la voluntat de crear uns premis literaris que hui en dia estan valorats en 10 euros?",Goncourt,14/11/2023
Ciència,"En quina estructura, formada fa uns 13.600 milions d’anys, es poden trobar els «braços» de Perseu, del Centaure, de Sagitari i del Cigne?",Via Làctia,21/11/2023
Ciència,"Quin religiós franco-italià del segle XI, que podria descendir d’una família noble d’Aosta, dona nom a una raça animal que va ser la protagonista d’una pel·lícula familiar de 1992?",San Bernardo,21/11/2023
Geografia,"Quins dos estats sobirans separa l'única frontera terrestre d'Oceania, encara que les dues regions comparteixen gran part de la seua denominació?",Papúa-Nova Guinea i Indonèsia (Papúa),21/11/2023
Cine i música,"El nom de quin gènere teatral, sorgit a França al segle XVIII i desenvolupat principalment en els EUA entre 1880 i la dècada de 1930, prové de la deformació d'una expressió francesa que vol dir «veu del poble»",Vodevil,21/11/2023
Història,"En quin edifici es troba la representació més coneguda a l’estat espanyol dels herois grecs Hipòmenes i Atalanta, que foren condemnats a convertir-se en animals i no poder mirar-se mai més a la cara?",Congrés dels Diputats,21/11/2023
Cine i música,Ordeneu aquests països pel nombre de vegades que han guanyat el festival d’Eurovisió,Irlanda (7) - Luxemburg (5) - Itàlia (3) - Alemanya (2),21/11/2023
Temes valencians,"Quina muntanya de la Serra Calderona va donar nom a un edifici construït el 1979, de gran popularitat en els anys 80 i 90 i sense activitat des de 2014?",Monte Picayo,21/11/2023
Miscelània,"Quin joc, amb peces d’uns 20 cm de llargària, i que ja apareixia en textos budistes del segle V aC, es comercialitza amb el mateix nom que un producte alimentari d’origen japonès?",Mikado,21/11/2023
Geografia,"En quina localitat toledana va pintar Joaquín Sorolla dos quadres el 1912, on destaquen uns vestits que es divideixen «traje de galón o colorao» i «traje de trapillo o dominguero»?",Lagartera,28/11/2023
Història,"Amb quins animals s’associen dues entitats, fundades el 1828 i el 1854, gràcies a les vinyetes satíriques de l’il·lustrador Thomas Nast a finals del segle XIX?",Elefant i burro,28/11/2023
Miscelània,"Quin joguet, creat a Liverpool per Frank Hornby el 1901, comparteix pràcticament el mateix nom amb el d’un grup musical que va editar sis àlbums d’estudi entre 1982 i 1991?",Meccano,28/11/2023
Ciència,Amb quin nom d’origen noruec es coneix l’animal de l’ordre dels eufausiacis que suposa una biomassa total aproximada de 379 milions de tones?,Krill,28/11/2023
Temes valencians,Quina espècie dona nom a un barri de la ciutat de València que pertany a un districte anomenat a partir d’una antiga alqueria musulmana?,Safrà,28/11/2023
Esports,"Quin esport, considerat l’esport nacional del seu país, es disputa en un espai de 4,55 metres de diàmetre i només pot ser practicat per homes?",Sumo,28/11/2023
Miscelània,Relacioneu aquests títols de la saga Final Fantasy amb el seu protagonista,"VII-Cloud, VIII-Squall, IX-Yitán, X-Tidus",28/11/2023
Ciència,Ordeneu aquests planetes pel seu període de rotació,Júpiter (9h55m) - Urà (17h14m) - Mart (24h36m) - Venus (243d26m),28/11/2023
Geografia,Quin estat dels EUA rep el seu nom a partir d’un territori batejat per Giovanni da Verrazzano perquè li semblava que tenia una forma pareguda a un lloc on se situava una de les set meravelles del món antic?,Rhode Island,4/12/2023
Ciència,Quin personatge històric nascut al segle VI aC dona nom a un fruit cítric originari d’Àsia?,Buda,4/12/2023
Ciència,"Quina condició, que apareix en un de cada 200.000 naixements humans, es coneix amb el nom que tenia fins al 1932 un estat sobirà actual?",Siamesos,4/12/2023
Miscelània,"Quin era el nom del castell del qual obtenia els seus poders el fill dels governants del planeta Eternia, segons es conta en una sèrie d’animació emesa entre 1983 i 1985?",Grayskull,4/12/2023
Temes valencians,"Quin topònim del País Valencià deu el seu nom a la gran quantitat de serps que l’habitaven, i ja era conegut pel mateix motiu com Ophiusa pels grecs?",Illes Columbretes,4/12/2023
Esports,"Quina doctrina del pensament, que va ser creada per Patanjali al segle III aC, va arribar a l’estat espanyol gràcies a Ramiro Calle a principis de la dècada de 1970?",Ioga,4/12/2023
Cine i música,Relacioneu aquests animals amb la portada del disc de Pink Floyd on apareixen,"Animals - Porc, Atom Heart Mother - Vaca, Delicate Sound of Thunder - Pardals",4/12/2023
Geografia,"Quina ètnia bantú, anomenada a partir d’un rei del segle XIX, és predominant i dona nom a un estat sobirà d’Àfrica que no té eixida al mar?",Suazi,4/12/2023
