CATEGORIA,PREGUNTA,RESPOSTA,DATA
Cine i música,Relacioneu aquests noms de personatges de la sèrie Oliver i Benji amb la seua imatge,Julian Ross-Jack Morris-Phillip Callahan-Bruce Harper,30/05/2023
Miscelània,"En quina ciutat de l'estat espanyol es va instal·lar un empresari d'ascendència francesa que va fundar el 1870 una empresa de litografia, la creació més coneguda de la qual conté el nom d'eixa ciutat imprés en una de les seues parts?",Vitòria-Gasteiz,30/05/2023
Ciència,"Què mesura l'escala de Bristol, una taula visual desenvolupada per Ken W. Heaton i Stephen J. Lewis en la universitat d'eixa ciutat anglesa i publicada per primera vegada el 1997?",La forma dels excrements,30/05/2023
Ciència,"Quin nom comú reben diferents espècies de guacamais, que eren abundants en una zona que actualment ocupa un barri de vora 25.000 habitants on hi ha una construcció, del mateix nom del barri, que va ser especialment famosa per un esdeveniment ocorregut el 16 de juliol de 1950?",Maracanà,30/05/2023
Geografia,"Quina ciutat turca, actualment amb uns 360.000 habitants, que va ser capital de l'imperi seljúcida i primera llar dels cristians no jueus, comparteix nom amb el d'un dels 32 departaments de Colòmbia amb capital en Medellín?",Antioquia,30/05/2023
Història,"Quin personatge històric del Regne de Castella dels segles XIII i XIV, coneguda com la «tres vegades reina» per ser la dona de Sancho IV i regnar durant la minoria d'edat del seu fill Fernando IV i del seu net Alfonso XI, té un carrer a la versió espanyola del joc del Monopoly?",María de Molina ,30/05/2023
Esports,Digueu cinc àrbitres que hagen dirigit almenys 200 partits en la primera divisió masculina de futbol espanyol,Veure llistat,30/05/2023
Temes valencians,Quin municipi de l'interior de l'actual província de València va donar nom a una taifa establerta a principis del segle XI i que al llarg del segle XII va ser incorporada successivament a l'emirat de Balansiya i a l'emirat de Múrcia fins que va ser conquerida per Jaume I el 1238?,Alpuente,30/05/2023
Miscelània,"En quina ciutat de la regió italiana de Piemont es va crear, el 6 de juny de 1757, una beguda alcohòlica elaborada amb herbes aromàtiques, la marca de la qual té el nom de la seua ciutat d'origen i l'any 1999 va ser adquirida pel Grupo Campari?",Cinzano,6/06/2023
Miscelània,"Quina empresa catalana, propietat dels germans Josep i Jordi Magrià Deulofeu, va comercialitzar a partir de 1976 uns joguets d'uns 8,5 cm d'alçada dels quals es produïren sèries inspirades en el món dels esports, l'espai, el circ o la història militar?",Airgam,6/06/2023
Ciència,"Quina tecnologia, hui present en molts àmbits i que es pot definir com un mòdul per a emmagatzemar informació en una matriu de dades, va ser creada el 1994 per un equip dirigit per Masahiro Hara amb l'objectiu de registrar peces de recanvi en la fabricació de vehicles?",Codi QR,6/06/2023
Ciència,Relacioneu aquestes espècies de pingüí amb la imatge corresponent,Papua - Fiordland - Adèlia - Emperador,6/06/2023
Geografia,"Classifiqueu aquests rius segons siguen afluents de l'Ebre, del Duero o del Tajo","Tajo - Tiètar i Alagón, Duero - Tormes i Pisuerga, Ebre - Gàllego i Jalón",6/06/2023
Història,"Quina ciutat, actualment la més poblada del seu país i capital d'aquest entre 1901 i 1927, pren el seu nom a partir del títol nobiliari d'un antic primer ministre britànic, però va ser fundada el 1835 sobre els terrenys descoberts per John Batman, de manera que durant un temps es va considerar batejar-la com Batmania?",Melbourne,6/06/2023
Esports,"Quin empresari francès del sector del vi va construir, en 1970, una instal·lació on se celebra una prova esportiva que al llarg del segle XXI han guanyat dos alemanys, un espanyol, un finès, un brasiler, un britànic i un neerlandès?",Paul Ricard,6/06/2023
Temes valencians,Digueu quatre dels cinc municipis que formen part de l'àrea PORN (Pla d'Ordenació dels Recursos Naturals) del parc natural del Massís del Montgó,"Dènia, Gata de Gorgos, Xàbia, Pedreguer, Ondara",6/06/2023
Miscelània,"Quina cosa era Fafner, anomenada en honor al drac de l'Anell dels Nibelungs, i propietat de Julio Cortázar i Carol Dunlop, que durant l'any 1982 va ajudar al primer a escriure la seua última obra?",Una furgoneta Volkswagen T2a,20/06/2023
Ciència,"Quin personatge literari es va inspirar en una persona real que podria haver patit de porfíria, una malaltia metabòlica i generalment hereditària ocasionada per un dèficit d'enzims i que provoca uns símptomes que encaixarien amb la descripció d'aquell personatge?",Dràcula,20/06/2023
Ciència,"Quina planta d'origen asiàtic, molt utilitzada en perfumeria, té un nom que difereix en només una lletra del malnom amb el qual es coneixia a una persona que va estar empresonada a l'estat espanyol entre 2013 i 2016?",Pachuli,20/06/2023
Geografia,"Quins dos estats sobirans connecta la línia internacional de mercaderies que és la infraestructura de transport més llarga del món, amb més de 13.000 kilòmetres?",Xina (Yiwu) i l'estat espanyol (Madrid),20/06/2023
Miscelània,"Quina cançó instrumental, composada per Franz Lambert i utilitzat per primera vegada el 1994, va ser oficial fins a 2018, moment a partir del qual va canviar de nom i va ser complementada per un famós tema de The White Stripes?",Himne de la FIFA,20/06/2023
Història,De quina torre de 95 metres d'alçada es va construir el 1967 una rèplica en una ciutat d'un altre continent a conseqüència de l'interés d'un promotor immobiliari que va facilitar l'agermanament d'ambdues ciutats des de l'any 1956?,Giralda,20/06/2023
Esports,Quines són les tres ciutats amb una altitud mitjana sobre el nivell del mar superior a 200 metres que han sigut seu dels Jocs Olímpics d'estiu?,"Ciutat de Mèxic, Munic i Atlanta",20/06/2023
Temes valencians,"Digueu quatre directors, actors o actrius que tinguen una placa commemorativa al Passeig de la Mostra de València de la platja de la Malva-rosa ","Luis García Berlanga, Tony Leblanc, Maribel Verdú, Concha Velasco, Amparo Soler Leal, Aurora Bautista, Antonio Ozores Puchol, Omero Antonutti, Jaime de Armiñán, Luis Sánchez Polack ""Tip"", Silvana Mangano, Ismael Merlo, Vittorio Gassman, Yves Montand, Fernando Fernán Gómez, Alfredo Matas, Costa Gavras, Irene Papas, Juanjo Puigcorbé, Victoria Vera, Analía Gadé",20/06/2023
Miscelània,"Quin adjectiu, que es defineix com una cosa irregular i sense ordre, prové del nom del conjunt de versos afegits al final d'un poema i habitualment associat amb un tema satíric?",Estrambòtic,27/06/2023
Miscelània,"En quina creació, que va eixir al mercat l'any 1989, es va popularitzar una cançó inspirada en un poema de Nikolái Nekrásov publicat el 1861 i que parla d'un venedor ambulant que sedueix a una jove?",Tetris,27/06/2023
Ciència,Relaciona aquests composts químics amb la seua fórmula,"1-Propanol, 2-Etanol, 3-Metanol",27/06/2023
Ciència,"Quina planta perenne, nadiua del centre i est de la regió mediterrània, protagonitza una llegenda en la qual l'escultor Calímac, en veure un exemplar d'aquesta planta, va tenir la inspiració de crear l'ornamentació típica d'un dels ordres clàssics?",Acanto,27/06/2023
Geografia,Digueu sis ciutats de l'estat espanyol que siguen la segona ciutat més poblada de la seua comunitat autònoma,"A Corunya, Oviedo, Torrelavega, Vitoria-Gasteiz, Tudela, Calahorra, Huesca, L'Hospitalet de Llobregat, Alacant, Calvià, Cartagena, Màlaga, Càceres, Burgos, Guadalajara, Móstoles, Santa Cruz de Tenerife",27/06/2023
Esports,"En quin joc de només set peces, que podria remuntar-se al segle VII, però que va rebre per primera vegada el nom amb el qual el coneixem en un llibre de 1848, es donen les paradoxes dels dos monjos i de la tassa màgica?",Tangram,27/06/2023
Temes valencians,"Amb quin nom es coneix l'espècie animal que té com a nom científic Valencia hispanica, d'uns 4-8 cm de llargària i en la qual les femelles solen ser més grans que els mascles?",Samaruc,27/06/2023
Història,"Quina part del cos humà va donar nom a un conflicte bèl·lic entre el Regne Unit i l'imperi espanyol que va tindre lloc entre 1739 i 1748 i que va ser provocat, suposadament, per un greuge realitzat per Juan León Fandiño al capità d'un vaixell britànic enfront de les costes de Florida?",Orella (de Jenkins),27/06/2023
Cine i música,"Com es diu la cançó tradicional hebrea, el títol de la qual significa «Alegrem-nos», que va ser publicada amb la lletra actual en la dècada de 1910 i després ha sigut versionada, entre d'altres, per Harry Belafonte o Bob Dylan?",Hava Nagila,4/07/2023
Miscelània,Relacioneu aquests noms de personatges de Los Simpsons amb el seu cognom,Agnes Skinner - Bernice Hibbert - Elizabeth Hoover - Helen Lovejoy,4/07/2023
Ciència,"Quin és el nom del teorema que es defineix com el resultat sobre les propietats de diferenciabilitat de la funció objectiu d'un problema d'optimització parametritzat, i que en llenguatge col·loquial serveix per a dir que algú ens ha fet alguna mena d'ardit per enganyar-nos?",La envolvente,4/07/2023
Ciència,Relacioneu aquestes lletres de l'alfabet àrab amb el seu equivalent en l'alfabet llatí,"1-t, 2-s, 3-r, 4-n",4/07/2023
Geografia,Digueu cinc estats sobirans que estiguen entre els deu on viuen més persones de nacionalitat espanyola (dades de març de 2023),"Argentina, França, EUA, Alemanya, Regne Unit, Cuba, Mèxic, Brasil, Veneçuela, Suïssa",4/07/2023
Història,"Quin era el cognom d'un dels signants de la Declaració d'Independència dels Estats Units, del qual afirma ser descendent directe una actriu guanyadora d'un Oscar, un Emmy i dos Golden Globes?",Whiterspoon,4/07/2023
Esports,"A quin esport pertany la Weber Cup, un torneig que des de l'any 2000 enfronta als equips masculins d'Europa i dels EUA?",Bitlles,4/07/2023
Temes valencians,"Quin religiós mercedari, nascut el 1350, dona nom a un hospital de la ciutat de València, tot i que un altre hospital de la ciutat té el seu origen en un hospici creat per aquell?",Pare Jofré,4/07/2023
Art i literatura,Ordeneu per ordre cronològic els següents amos de El Lazarillo de Tormes,"1-Cec, 2-Clergue, 3-Escuder, 4-Frare de la Mercè",7/07/2023
Miscelània,Amb quin nom en una llengua europea es coneix un esdeveniment anual que se celebra en una ciutat del continent americà protagonitzat per una figura anomenada Rex i on els colors que s'utilitzen tradicionalment són aquests:,Mardi Gras,7/07/2023
Ciència,"Digueu quin dels següents postulats es correspon amb la primera, la segona i la tercera llei de Mendel","1- Uniformitat, 2- Segregació, 3- Transmisió",7/07/2023
Ciència,"Quin és el nom amb el qual va ser més conegut Theophrastus Phillippus Aureolus Bombastus von Hohenheim, un alquimista i astròleg suïs del segle XVI que va escollir eixe nom per tal d'equiparar-se a un metge romà del segle I?",Paracels,7/07/2023
Geografia,Quin navegant i explorador portuguès del segle XVI dona nom a un arxipèlag de sobirania britànica de l'oceà Atlàntic que constitueix el lloc habitat més remot del planeta?,Tristán de Acuña,7/07/2023
Història,"Quina ciutat actual, el port més important del seu país, va ser entre 1920 i 1924 la capital de l'Estat Lliure de Fiume, després de ser ocupada per un exèrcit comandat pel poeta Gabriele D'Annunzio?",Rijeka,7/07/2023
Esports,Digueu el nom de tres esportistes que hagen guanyat deu o més medalles en els JJOO d'estiu,Veure Imatge,7/07/2023
Temes valencians,"Amb quin malnom va ser més conegut un esportista valencià nascut el 1962, de segon cognom Salvadores, i que va adoptar-lo a partir de l'ofici del seu avi, que es dedicava a fer calçat tradicional?",Aspar,7/07/2023
Miscelània,"Amb quina denominació són més conegudes «La Pelona», «La Pava» i «El Pelao», que van fer coneguda una localitat de l’estat espanyol de vora 1.500 habitants a partir de l’any 1971?",Caras de Bélmez,12/09/2023
Miscelània,"De quina empresa era director executiu Sir Hugh Beaver en 1951, quan va encomanar a Norris i Ross McWhirter la creació d’un objecte que es va publicar el 1955 i que des d’aleshores ha venut més de 100 milions d’exemplars?",Guinness,12/09/2023
Ciència,"En què consisteix la prosopagnòsia, trastorn que apareix en el llibre L’home que va confondre la seua dona amb un barret d’Oliver Sacks i en una pel·lícula de 2011 protagonitzada per Milla Jovovich?",Incapacitat de reconèixer cares,12/09/2023
Ciència,Ordeneu aquestes espècies animals per la data aproximada de la seua extinció,Moa (c. 1400) - Dodo (c. 1662) - Quaga (1883) - Llop marsupial (c. 1936),12/09/2023
Geografia,"De quina regió europea és aquesta bandera, adoptada des de 1282 encara que no oficialment fins a l’any 2000, després de l’aixecament popular dels seus habitants contra el rei de França Carles I d’Anjou i amb l’ajut militar de Pere II el Gran d’Aragó, que va ser coronat rei d’aquella regió?",Sicília,12/09/2023
Història,"Quin estat sobirà actual va tenir entre 1554 i 1957 la denominació d’Imperi xerifià, a causa del fet que els seus governants es consideren descendents del profeta Mahoma?",Marroc,12/09/2023
Esports,Digueu tres ciclistes nascuts a l’estat espanyol que hagen pujat al pòdium del Tour de França sense haver-lo guanyat mai,"Bernardo Ruiz (1952), José Pérez Francés (1963), Julio Jiménez (1967), José Manuel Fuente (1973), Vicente López Carril (1974), Ángel Arroyo (1984), Fernando Escartín (1999), Joseba Beloki (2000, 2001, 2002), Samuel Sánchez (2010), Joaquim Rodríguez (2013), Alejandro Valverde (2015)",12/09/2023
Temes valencians,"Quin valencià, nascut el 1974, té dedicats carrers o places, a més d’en la seua localitat natal, en Simat de la Valldigna, Vinaròs, Sallent de Llobregat, Arbúcies o Vic?",Guillem Agulló,12/09/2023
Cine i música,Digueu quatre ciutats que apareguen en la lletra de la cançó «La del pirata cojo» de Joaquín Sabina,"Chicago, Melilla, Damasco, Sevilla, Nueva Orleans, Sodoma, Jerez, Montecarlo, Nueva York, Cádiz, Dublín, Las Vegas, Hamelín, La Habana, Venecia, Detroit, Marsella, ",19/09/2023
Miscelània,"Quin fenomen, descrit per primera vegada durant la II Guerra Mundial, es coneix amb una paraula anglesa i una altra que és una deformació d’una paraula francesa, i va donar títol a un grup musical format l’any 1994?",Foo Fighters,19/09/2023
Geografia,"Quina localitat, una de les més turístiques d’Europa, rep el seu nom a partir d’un antic guàrdia personal de l’emperador Neró que es va convertir al cristianisme i va ser decapitat per aquest motiu?",Saint-Tropez,19/09/2023
Història,"Quin era el cognom del polític europeu que va enviar una carta dirigida al baró Lionel Walter Rotschild i que va provocar, vora tres dècades després, la creació d’un nou estat sobirà?",Balfour,19/09/2023
Temes valencians,"Què van posar a la plaça principal del seu poble l’any 1786 els habitants d’una localitat alacantina que reclamaven la independència de Polop, i el nom de la qual prové de l’àrab i significa «terra fèrtil»?",Pi (Alfàs del Pi),19/09/2023
Esports,Relacioneu aquests equips de primera divisió amb el seu patrocinador principal,"Cádiz - DIGI, Getafe - Tecnocasa, Osasuna - Kosner, Betis - Finetwork",19/09/2023
Ciència,Ordeneu aquests elements químics per la seua electronegativitat,"Flúor (3,98) - Plom (2,33) - Ferro (1,83) - Franci (0,7)",19/09/2023
Ciència,"Quin animal, endèmic de només un continent i d’aproximadament un metre de llargària i 25-55 kg de pes, és conegut per ser l’única espècie coneguda que produeix excrements de forma cúbica?",Wombat,19/09/2023
Cine i música,"Amb quin nom, que prové de l'adaptació del d'un art marcial xinès que apareixia al títol d'una pel·lícula de Gordon Liu de 1981, és conegut un grup musical format per tres cosins de Staten Island l'any 1993? ","Wu-Tang Klan (Wudangquan, Shaolin vs. Wu-Tang)",26/09/2023
Miscelània,"Segons algunes teories, quin era el nom de la cistella que es col·locava en la part més alta del màstil major de les caravel·les, i on s’enviava als mariners que havien comés alguna falta?",Carajo,26/09/2023
Ciència,"Quin és el nom de l’animal invertebrat que causa una malaltia de la qual una incidència del 95% es dona en un únic país, i que va ser definit el 1845 pel biòleg Félix Dujardin per les seues espícules desiguals?",Anisakis,26/09/2023
Ciència,"Amb quin nom és més coneguda la pràctica de la contrologia, que va ser creada per un alemany nascut el 1883 que quan era xiquet patia d’asma, raquitisme i febre reumàtica?",Pilates,26/09/2023
Geografia,Digueu tres ciutats on tinga parada el transiberià,"Moscú, Nizhny Novgorod, Perm, Ekaterimburgo, Omsk, Novosibirsk, Krasnoyarsk, Irkutsk, Ulán-Udé, Chitá, Jabarovsk, Vladivostok",26/09/2023
Història,"Segons la tradició, quina ciutat europea va ser fundada al segle XIII per dos pescadors i el seu gos, que per casualitat arribaren a la vora del riu que actualment la travessa?",Amsterdam,26/09/2023
Esports,"Quins quatre equips que juguen en primera divisió de futbol masculí en la temporada 2023-24 van ser fundats, amb la seua denominació actual, després de la Guerra Civil?","Villarreal, Almería, Getafe, UD Las Palmas",26/09/2023
Temes valencians,"En record de quin musicòleg i compositor, nascut el 1871 i pioner del modernisme a l’estat espanyol, es va anomenar una plaça al centre de València on s’acaba d’instal·lar la persiana més gran del món?",Eduardo López-Chávarri,26/09/2023
Cine i música,Digueu tres actors o actrius que apareguen en la portada del disc Sgt. Pepper's Lonely Hearts Club Band de The Beatles,"Mae West, W.C. Fields, Fred Astaire, Huntz Hall, Tony Curtis, Marilyn Monroe, Stan Laurel, Oliver Hardy, Marlon Brando, Tom Mix, Tyrone Power, Johnny Weissmuller, Shirley Temple, Bette Davis, Marlene Dietrich",3/10/2023
Ciència,"Quin és el nom de l’estructura que hi ha entre els dos hemisferis del cerebel, i que rep el seu nom per la forma de cuc?",Vermis,3/10/2023
Ciència,"Quin element químic és l’únic de la taula periòdica que s’anomena exclusivament en honor d’una dona, que va ser una de les integrants de l’equip que va descobrir la fissió nuclear el 1938?",Meitneri,3/10/2023
Geografia,"Quin topònim europeu va ser anomenat per Plini el Vell en referència a la gran quantitat d’un tipus d’arbre, i va ser emprat per grecs i romans per diferenciar-lo de les Gimnèsies?",Pitiuses,3/10/2023
Història,Els ciutadans de quin territori van adquirir la nacionalitat de l’estat sobirà del qual formen part hui en dia després de la promulgació de la Llei Jones-Shafroth el 2 de març de 1917?,Puerto Rico,3/10/2023
Temes valencians,"Digueu el nom de tres platges, una per província del País Valencià, reconegudes amb bandera blava l’any 2023",Mirar web,3/10/2023
Esports,"Quina manifestació cultural i folklòrica, que es va incorporar al món de l’esport en 1888, va ser el centre d’un incident de lluita contra el racisme en 1979 en un estat sobirà de l’hemisferi sud?",Haka,3/10/2023
Miscelània,Relacioneu aquests parlaments amb la imatge corresponent:,"1-ONU, 2-Austràlia, 3-Alemanya, 4-Corea del Nord",3/10/2023
Art i literatura,Relacioneu aquestes figures retòriques amb el text corresponent:,"1-Sinècdoque, 2-Al·literació, 3-Anàfora, 4-Hipèrbaton",10/10/2023
Art i literatura,Quins tres animals representen els personatges principals de l’única novel·la gràfica guanyadora del premi Pulitzer l’any 1992?,"Ratolins, gats i porcs",10/10/2023
Ciència,"Quin terme, que prové de l’àrab i significa «els camins», es defineix en astronomia com l'angle que forma una direcció amb una altra direcció fixa que es pren com a origen, mesurada sobre l'horitzó?",Azimut,10/10/2023
Geografia,"Digueu un estat sobirà no europeu que es trobe entre els deu primers en l’índex de percepció de la corrupció, segons dades de 2021",Nova Zelanda i Singapur,10/10/2023
Història,"Quina confessió cristiana protestant, apareguda a la primera meitat del segle XVIII gràcies a l’acció dels germans Wesley, buscava una aproximació sistemàtica a les Escriptures i hui en dia té aquest logo?",Metodisme,10/10/2023
Temes valencians,"Digueu el nom de dues de les quatre cròniques medievals, escrites a finals del segle XIII i al llarg del XIV, que deixen constància de les conquestes de la Corona d’Aragó","Crònica de Jaume I (Llibre dels Fets), Crònica de Bernat Desclot (Llibre del rei en Pere), Crònica de Ramon Muntaner, Crònica de Pere el Cerimoniós)",10/10/2023
Esports,Ordeneu aquests equips pel nombre de vegades que han guanyat el torneig de les Sis Nacions de Rugby,Anglaterra-Gal·les-França-Irlanda-Escòcia,10/10/2023
Ciència,"Quin és el nom del vent del sud-est, propi de la Mediterrània i també conegut com apeliotes o jaloque, el nom del qual prové de l’italià i del grec i fa referència a l’estrela més visible del firmament?",Siroco,10/10/2023
Ciència,"Com es diu el material format per un aliatge d’estany, coure, antimoni i, opcionalment, plom, i sobre el qual Joseph Nicéphore Niépce va capturar la primera fotografia de la història en l’any 1826?",Peltre,17/10/2023
Ciència,"Amb quin animal, caracteritzat per la seua estridulació, es relaciona la Llei de Dolbear, publicada en 1897 i que té en compte per a la seua fórmula la temperatura de l’aire?",Grill,17/10/2023
Geografia,"Quina illa del Carib, on es troba l’única frontera de la Unió Europea fora d’Europa, va ser vista per Cristóbal Colón l’11 de novembre de 1493, fet que li va donar el seu nom actual?",San Martín,17/10/2023
Història,Quina part del cos denomina popularment el Parlament anglès que va funcionar entre 1648 i 1660 després de la purga dels membres que s’oposaven a l’execució del rei Carles I?,Rabada,17/10/2023
Miscelània,"Quin símbol, que actualment s’utilitza de forma oficial en molts països prové, segons algunes teories, de la deformació en l’escriptura de la denominació d’un objecte que va ser creat per la Corona de Castella el 1497 i que va tenir un ús habitual en el segle XVIII en Europa, Amèrica i l’Extrem Orient?",Símbol de dòlar,17/10/2023
Miscelània,"En quina pràctica artística, arribada a Europa a través de la Ruta de la Seda i popularitzada en l’estat espanyol gràcies a Miguel de Unamuno en la dècada de 1930, es poden aplicar el Teorema de Maekawa i el Teorema de Kawasaki?",Origami,17/10/2023
Temes valencians,Digueu el nom de dues biblioteques de la xarxa municipal de València que tinguen nom de dona,"Carmelina Sánchez Cutillas, Carola Reig Salvá, Clara Santiró i Font, Germana de Foix, Isabel de Villena, María Beneyto, María Moliner, Matilde Ramos",17/10/2023
Esports,"Quin esport, que enfronta dos equips de deu jugadors cadascun, va ser olímpic en 1904 i 1908, on la medalla d’or va ser guanyada per un país que hui en dia el considera oficialment com el seu esport d’estiu oficial?",Lacrosse,17/10/2023
Ciència,"Amb quin nom es coneix una pràctica, desenvolupada el 1922 per Mikao Usui, i que en 2009 va ser declarada incompatible amb l’espiritualitat cristiana per la Conferència de Bisbes Catòlics dels EUA?",Reiki,24/10/2023
Ciència,"Quin científic alemany va inventar el 1877, mentre treballava com a assistent de Robert Koch, un utensili molt habitual des d’aleshores als laboratoris?",Julius Richard Petri,24/10/2023
Geografia,"Quina antiga colònia europea, que va pertànyer al regne de Gabú, va rebre el seu nom actual, que inclou el de la seua capital, l’any 1973 per no confondre-la amb una altra excolònia d’un altre país europeu?",Guinea-Bisáu,24/10/2023
Història,Digueu el nom de quatre hereus o hereves actuals de les monarquies europees,"Leonor de Borbón, Isabel de Bèlgica, Federico de Dinamarca, Guillermo d'Anglaterra, Catalina Amalia dels Països Baixos, Luis de Liechtenstein, Guillermo de Luxemburgo, Jacques de Mònaco, Haakon de Noruega, Victoria de Suècia",24/10/2023
Cine i música,"Quin grup musical britànic, format el 1978, va inspirar-se per al seu nom en un personatge d’una pel·lícula franco-italiana de 1968 protagonitzada per una actriu guanyadora de dos Oscars, i creador del potent raig positrónic?",Duran Duran,24/10/2023
Esports,"Quin esdeveniment, celebrat per primera vegada en 1960, té un logo que representa tres símbols anomenats «agitos» i que des de 2019 té aquest disseny?",Jocs Paralímpics,24/10/2023
Temes valencians,"Quin producte artesanal, d’uns 10 cm de llargària i format pel budell, el capot i la capa, es començà a fabricar en la localitat de Chella en el segle XIX?",Caliquenyo,24/10/2023
Miscelània,Relaciona aquests escriptors amb el bitllet de peseta (sèrie 1982-1987) on apareixien,"200-Clarín, 500-Rosalía de Castro, 1,000-Pérez Galdós, 2.000-Juan Ramón Jiménez",24/10/2023
Història,"Quin dia de 1929 es va produir l'assassinat de cinc membres de la banda mafiosa North Gang de Chicago, fet que es reconstrueix en la primera escena d'una famosa comèdia de 1959 que és molt més coneguda per la seua última escena?",14 de febrer (Massacre de Sant Valentí),30/10/2023
Cine i música,"Quin personatge de ficció, nascut un divendres 13 i interpretat, entre altres, per Lisa Loring i Nicole Fugere, té el mateix cognom que el del seu creador, però deu el seu nom de pila a un vers d’una cançó de bressol de 1838?",Miércoles Addams,30/10/2023
Miscelània,Relaciona aquests assassins en sèrie amb la imatge corresponent,"1-Dahmer, 2-Bundy, 3-Gein, 4-Gacy",30/10/2023
Esports,"Amb quin malnom, que es refereix a una professió, és més conegut Mark William Calawey, que va debutar en la seua disciplina el 1987 i va ser campió el 1991 després de derrotar a Terry Gene Bollea, més conegut pel malnom que remet a uns dels Avengers originals?",L'Enterrador,30/10/2023
Temes valencians,"A quina criatura de l’imaginari valencià, protagonista d’un còmic de 2014, es deu el nom de la patrulla policial creada a principis del segle XIX pel general Elío per a combatre els bandolers, i que era coneguda per la seua brutalitat?",Butoni,30/10/2023
Ciència,"Amb quin nom, que prové de la deformació dels termes indígenes «uria» (ocell) i «eor» (matar) es coneix una substància que va ser descrita per Pietro Martire d’Anghiera en una obra de principis del segle XVI referida al Nou Món?",Curare,30/10/2023
Història,"Digueu el nom de tres persones, de tres continents diferents, que van ser assassinades al segle XX mentre eren presidents, primers ministres o dictadors del seu país","José Canalejas, JFK, Venustiano Carranza, Indira Ghandi, Laurent-Desiré Kabila, Anwar El-Sadat, Anastasio Somoza, Rafael Leónidas Trujillo",30/10/2023
Ciència,"Quina pràctica tradicional asiàtica, prohibida legalment al seu país d’origen des de 1873, va ser portada a terme per l’escriptor italià Emilio Salgari el 25 d’abril de 1911?",Seppuku,30/10/2023
Geografia,"Quin grup ètnic, també conegut com acadians, es va exiliar en la segona meitat del segle XVIII en la zona on viuen actualment després de la incorporació d’una part dels territoris de Nova França a la Corona Britànica?",Cajun,7/11/2023
Història,"Quin terme pejoratiu, que va ser popularitzat a partir de les Guerres Napoleòniques, inclou en una de les seues paraules un topònim d’origen celta que els romans van associar a un color?",Pérfida Albión,7/11/2023
Cine i música,"Quin personatge, protagonista d’una novel·la de 1986 i d’una pel·lícula de 1994, va nàixer a l’estat d’Alabama i rebé el seu nom a partir del d’un dirigent del Ku Klux Klan?",Forrest Gump,7/11/2023
Esports,"Quina competició popular europea d’origen medieval, que se celebra dues vegades a l’any en honor a la verge, té entre els seus equips participants alguns anomenats el Caragol, el Drac, l’Unicorn, la Tortuga o la Girafa?",Palio de Siena,7/11/2023
Miscelània,"On es pot trobar una xicoteta escultura de 7,5 cm anomenada «L’esperit de l’èxtasi», que va ser modelada a partir de la secretària i amant de Lord Montagu de Beaulieu a principis del segle XX?",Al capó dels Rolls-Royce,7/11/2023
Temes valencians,Quin era el cognom de l'almirall del rei Alfons III d'Aragó que va adquirir una antiga alqueria musulmana que hui en dia dona nom a un municipi alacantí on naix un riu?,Bernat de Sarrià (Callosa),7/11/2023
Ciència,"Quin científic dels EUA va desenvolupar el 1935, juntament amb Beno Gutenberg, una teoria científica que va millorar i sustituir l'escala de Mercalli?",Charles Francis Richter,7/11/2023
Ciència,"Quin mamífer, símbol nacional del seu país, dona nom a un equip esportiu que existeix des de 1891 i que ha sigut campió del món en quatre ocasions?",Springbok,7/11/2023
Geografia,"Quina ciutat europea, capital d’un estat federat i una de les ciutats imperials de la dinastia dels Habsburg, té un nom que etimològicament remet a un pont sobre el riu que la travessa?",Innsbruck,14/11/2023
Història,Ordeneu cronològicament aquests estats sobirans per la data de la seua independència,Colòmbia (1810) - Argentina (1816) - Xile (1818) - Perú (1821),14/11/2023
Miscelània,Quina cançó publicada per un grup espanyol el 2001 té com a títol el famòs epitafi d’un actor que realment mai va estar en la seua tomba?,"Feo, fuerte y formal",14/11/2023
Temes valencians,"En honor de quin polític d’un altre continent es va batejar l’actual plaça del Parterre de València entre 1918 i 1923, quan va tornar al seu nom anterior després del colp d’estat de Primo de Rivera?",Woodrow Wilson,14/11/2023
Ciència,Relaciona les següents fulles amb l’arbre corresponent,"1-Faig, 2-Roure, 3-Bedoll, 4-Avellaner",14/11/2023
Esports,"Quin equip de futbol té un malnom que fa referència a la forma en la qual va morir la persona que dona nom al seu estadi, construït el 1913 molt a prop d’una institució de beneficència del segle XVIII amb el mateix nom?",Athletic Club,14/11/2023
Ciència,"Quina planta herbàcia de la família de les araliàcies i d’origen asiàtic pertany al gènere Panax, en referència a la seua capacitat de ser el remei per a totes les malalties?",Ginseng,14/11/2023
Cine i música,Digueu el nom de cinc actrius que hagen sigut nominades a l’Oscar a la Millor Actriu Principal en almenys cinc ocasions,"Meryl Streep, Katharine Hepburn, Bette Davis, Greer Garson, Ingrid Bergman, Jane Fonda, Deborah Kerr, Norma Shearer, Sissy Spacek, Anne Bancroft, Cate Blanchett, Ellen Burstyn, Judi Dench, Irene Dunne, Susan Hayward, Audrey Hepburn, Jessica Lange, Shirley MacLaine, Susan Sarandon, Elizabeth Taylor",14/11/2023
Geografia,"Quin explorador del segle XIX dona nom a la capital d’un estat dels EUA que es troba a l’est d’un accident topogràfic que té el mateix nom que un altre del sud de la península ibèrica, i del qual pren també el seu nom?",Kit Carson,21/11/2023
